Algoritmo,Condição,Tamanho do vetor,Tempo de execução (microsec),Tempo de execução (sec),Comparações realizadas,Trocas realizadas
Merge Sort,aleatorio,190,16,0,1454,1454
Merge Sort,aleatorio,200,22,0,1544,1544
Merge Sort,aleatorio,210,18,0,1634,1634
Merge Sort,aleatorio,220,18,0,1724,1724
Merge Sort,aleatorio,230,19,0,1814,1814
Merge Sort,aleatorio,240,20,0,1904,1904
Merge Sort,aleatorio,250,21,0,1994,1994
Merge Sort,aleatorio,260,26,0,2088,2088
Merge Sort,aleatorio,270,26,0,2188,2188
Merge Sort,aleatorio,280,24,0,2288,2288
Merge Sort,aleatorio,290,25,0,2388,2388
Merge Sort,aleatorio,300,25,0,2488,2488
Merge Sort,aleatorio,310,36,0,2588,2588
Merge Sort,aleatorio,320,33,0,2688,2688
Merge Sort,aleatorio,330,28,0,2788,2788
Merge Sort,aleatorio,340,29,0,2888,2888
Merge Sort,aleatorio,350,29,0,2988,2988
Merge Sort,aleatorio,360,42,0,3088,3088
Merge Sort,aleatorio,370,32,0,3188,3188
Merge Sort,aleatorio,380,32,0,3288,3288
Merge Sort,aleatorio,390,33,0,3388,3388
Merge Sort,aleatorio,400,35,0,3488,3488
Merge Sort,aleatorio,410,36,0,3588,3588
Merge Sort,aleatorio,420,51,0,3688,3688
Merge Sort,aleatorio,430,38,0,3788,3788
Merge Sort,aleatorio,440,39,0,3888,3888
Merge Sort,aleatorio,450,46,0,3988,3988
Merge Sort,aleatorio,460,41,0,4088,4088
Merge Sort,aleatorio,470,42,0,4188,4188
Merge Sort,aleatorio,480,42,0,4288,4288
Merge Sort,aleatorio,490,60,0,4388,4388
Merge Sort,aleatorio,500,43,0,4488,4488
Merge Sort,aleatorio,510,47,0,4588,4588
Merge Sort,aleatorio,520,47,0,4696,4696
Merge Sort,aleatorio,530,47,0,4806,4806
Merge Sort,aleatorio,540,48,0,4916,4916
Merge Sort,aleatorio,550,49,0,5026,5026
Merge Sort,aleatorio,560,50,0,5136,5136
Merge Sort,aleatorio,570,51,0,5246,5246
Merge Sort,aleatorio,580,53,0,5356,5356
Merge Sort,aleatorio,590,52,0,5466,5466
Merge Sort,aleatorio,600,54,0,5576,5576
Merge Sort,aleatorio,610,55,0,5686,5686
Merge Sort,aleatorio,620,75,0,5796,5796
Merge Sort,aleatorio,630,56,0,5906,5906
Merge Sort,aleatorio,640,56,0,6016,6016
Merge Sort,aleatorio,650,58,0,6126,6126
Merge Sort,aleatorio,660,59,0,6236,6236
Merge Sort,aleatorio,670,80,0,6346,6346
Merge Sort,aleatorio,680,61,0,6456,6456
Merge Sort,aleatorio,690,86,0,6566,6566
Merge Sort,aleatorio,700,62,0,6676,6676
Merge Sort,aleatorio,710,63,0,6786,6786
Merge Sort,aleatorio,720,64,0,6896,6896
Merge Sort,aleatorio,730,66,0,7006,7006
Merge Sort,aleatorio,740,67,0,7116,7116
Merge Sort,aleatorio,750,67,0,7226,7226
Merge Sort,aleatorio,760,67,0,7336,7336
Merge Sort,aleatorio,770,68,0,7446,7446
Merge Sort,aleatorio,780,70,0,7556,7556
Merge Sort,aleatorio,790,77,0,7666,7666
Merge Sort,aleatorio,800,100,0,7776,7776
Merge Sort,aleatorio,810,75,0,7886,7886
Merge Sort,aleatorio,820,78,0,7996,7996
Merge Sort,aleatorio,830,77,0,8106,8106
Merge Sort,aleatorio,840,98,0,8216,8216
Merge Sort,aleatorio,850,112,0,8326,8326
Merge Sort,aleatorio,860,79,0,8436,8436
Merge Sort,aleatorio,870,79,0,8546,8546
Merge Sort,aleatorio,880,81,0,8656,8656
Merge Sort,aleatorio,890,99,0,8766,8766
Merge Sort,aleatorio,900,82,0,8876,8876
Merge Sort,aleatorio,910,116,0,8986,8986
Merge Sort,aleatorio,920,86,0,9096,9096
Merge Sort,aleatorio,930,116,0,9206,9206
Merge Sort,aleatorio,940,95,0,9316,9316
Merge Sort,aleatorio,950,133,0,9426,9426
Merge Sort,aleatorio,960,158,0,9536,9536
Merge Sort,aleatorio,970,89,0,9646,9646
Merge Sort,aleatorio,980,91,0,9756,9756
Merge Sort,aleatorio,990,92,0,9866,9866
Merge Sort,aleatorio,1000,94,0,9976,9976
Merge Sort,aleatorio,1010,126,0,10086,10086
Merge Sort,aleatorio,1020,93,0,10196,10196
Merge Sort,aleatorio,1030,95,0,10312,10312
Merge Sort,aleatorio,1040,97,0,10432,10432
Merge Sort,aleatorio,1050,98,0,10552,10552
Merge Sort,aleatorio,1060,108,0,10672,10672
Merge Sort,aleatorio,1070,101,0,10792,10792
Merge Sort,aleatorio,1080,102,0,10912,10912
Merge Sort,aleatorio,1090,103,0,11032,11032
Merge Sort,aleatorio,1100,104,0,11152,11152
Merge Sort,aleatorio,1110,105,0,11272,11272
Merge Sort,aleatorio,1120,106,0,11392,11392
Merge Sort,aleatorio,1130,146,0,11512,11512
Merge Sort,aleatorio,1140,106,0,11632,11632
Merge Sort,aleatorio,1150,108,0,11752,11752
Merge Sort,aleatorio,1160,148,0,11872,11872
Merge Sort,aleatorio,1170,154,0,11992,11992
Merge Sort,aleatorio,1180,112,0,12112,12112
Merge Sort,aleatorio,1190,114,0,12232,12232
Merge Sort,aleatorio,1200,112,0,12352,12352
Merge Sort,aleatorio,1210,115,0,12472,12472
Merge Sort,aleatorio,1220,150,0,12592,12592
Merge Sort,aleatorio,1230,159,0,12712,12712
Merge Sort,aleatorio,1240,120,0,12832,12832
Merge Sort,aleatorio,1250,134,0,12952,12952
Merge Sort,aleatorio,1260,159,0,13072,13072
Merge Sort,aleatorio,1270,119,0,13192,13192
Merge Sort,aleatorio,1280,118,0,13312,13312
Merge Sort,aleatorio,1290,120,0,13432,13432
Merge Sort,aleatorio,1300,122,0,13552,13552
Merge Sort,aleatorio,1310,137,0,13672,13672
Merge Sort,aleatorio,1320,126,0,13792,13792
Merge Sort,aleatorio,1330,125,0,13912,13912
Merge Sort,aleatorio,1340,129,0,14032,14032
Merge Sort,aleatorio,1350,129,0,14152,14152
Merge Sort,aleatorio,1360,180,0,14272,14272
Merge Sort,aleatorio,1370,130,0,14392,14392
Merge Sort,aleatorio,1380,133,0,14512,14512
Merge Sort,aleatorio,1390,133,0,14632,14632
Merge Sort,aleatorio,1400,165,0,14752,14752
Merge Sort,aleatorio,1410,185,0,14872,14872
Merge Sort,aleatorio,1420,134,0,14992,14992
Merge Sort,aleatorio,1430,138,0,15112,15112
Merge Sort,aleatorio,1440,172,0,15232,15232
Merge Sort,aleatorio,1450,140,0,15352,15352
Merge Sort,aleatorio,1460,192,0,15472,15472
Merge Sort,aleatorio,1470,141,0,15592,15592
Merge Sort,aleatorio,1480,147,0,15712,15712
Merge Sort,aleatorio,1490,142,0,15832,15832
Merge Sort,aleatorio,1500,142,0,15952,15952
Merge Sort,aleatorio,1510,301,0,16072,16072
Merge Sort,aleatorio,1520,147,0,16192,16192
Merge Sort,aleatorio,1530,146,0,16312,16312
Merge Sort,aleatorio,1540,145,0,16432,16432
Merge Sort,aleatorio,1550,147,0,16552,16552
Merge Sort,aleatorio,1560,149,0,16672,16672
Merge Sort,aleatorio,1570,151,0,16792,16792
Merge Sort,aleatorio,1580,176,0,16912,16912
Merge Sort,aleatorio,1590,157,0,17032,17032
Merge Sort,aleatorio,1600,154,0,17152,17152
Merge Sort,aleatorio,1610,177,0,17272,17272
Merge Sort,aleatorio,1620,221,0,17392,17392
Merge Sort,aleatorio,1630,160,0,17512,17512
Merge Sort,aleatorio,1640,162,0,17632,17632
Merge Sort,aleatorio,1650,162,0,17752,17752
Merge Sort,aleatorio,1660,162,0,17872,17872
Merge Sort,aleatorio,1670,163,0,17992,17992
Merge Sort,aleatorio,1680,163,0,18112,18112
Merge Sort,aleatorio,1690,165,0,18232,18232
Merge Sort,aleatorio,1700,179,0,18352,18352
Merge Sort,aleatorio,1710,167,0,18472,18472
Merge Sort,aleatorio,1720,170,0,18592,18592
Merge Sort,aleatorio,1730,169,0,18712,18712
Merge Sort,aleatorio,1740,209,0,18832,18832
Merge Sort,aleatorio,1750,171,0,18952,18952
Merge Sort,aleatorio,1760,172,0,19072,19072
Merge Sort,aleatorio,1770,173,0,19192,19192
Merge Sort,aleatorio,1780,173,0,19312,19312
Merge Sort,aleatorio,1790,240,0,19432,19432
Merge Sort,aleatorio,1800,175,0,19552,19552
Merge Sort,aleatorio,1810,181,0,19672,19672
Merge Sort,aleatorio,1820,180,0,19792,19792
Merge Sort,aleatorio,1830,214,0,19912,19912
Merge Sort,aleatorio,1840,182,0,20032,20032
Merge Sort,aleatorio,1850,183,0,20152,20152
Merge Sort,aleatorio,1860,256,0,20272,20272
Merge Sort,aleatorio,1870,185,0,20392,20392
Merge Sort,aleatorio,1880,186,0,20512,20512
Merge Sort,aleatorio,1890,186,0,20632,20632
Merge Sort,aleatorio,1900,189,0,20752,20752
Merge Sort,aleatorio,1910,189,0,20872,20872
Merge Sort,aleatorio,1920,190,0,20992,20992
Merge Sort,aleatorio,1930,190,0,21112,21112
Merge Sort,aleatorio,1940,197,0,21232,21232
Merge Sort,aleatorio,1950,192,0,21352,21352
Merge Sort,aleatorio,1960,193,0,21472,21472
Merge Sort,aleatorio,1970,194,0,21592,21592
Merge Sort,aleatorio,1980,196,0,21712,21712
Merge Sort,aleatorio,1990,197,0,21832,21832
Merge Sort,aleatorio,2000,196,0,21952,21952
Merge Sort,aleatorio,2010,418,0,22072,22072
Merge Sort,aleatorio,2020,198,0,22192,22192
Merge Sort,aleatorio,2030,201,0,22312,22312
Merge Sort,aleatorio,2040,277,0,22432,22432
Merge Sort,aleatorio,2050,201,0,22554,22554
Merge Sort,aleatorio,2060,204,0,22684,22684
Merge Sort,aleatorio,2070,204,0,22814,22814
Merge Sort,aleatorio,2080,206,0,22944,22944
Merge Sort,aleatorio,2090,211,0,23074,23074
Merge Sort,aleatorio,2100,247,0,23204,23204
Merge Sort,aleatorio,2110,285,0,23334,23334
Merge Sort,aleatorio,2120,211,0,23464,23464
Merge Sort,aleatorio,2130,212,0,23594,23594
Merge Sort,aleatorio,2140,215,0,23724,23724
Merge Sort,aleatorio,2150,215,0,23854,23854
Merge Sort,aleatorio,2160,299,0,23984,23984
Merge Sort,aleatorio,2170,299,0,24114,24114
Merge Sort,aleatorio,2180,219,0,24244,24244
Merge Sort,aleatorio,2190,221,0,24374,24374
Merge Sort,aleatorio,2200,221,0,24504,24504
Merge Sort,aleatorio,2210,227,0,24634,24634
Merge Sort,aleatorio,2220,227,0,24764,24764
Merge Sort,aleatorio,2230,224,0,24894,24894
Merge Sort,aleatorio,2240,227,0,25024,25024
Merge Sort,aleatorio,2250,227,0,25154,25154
Merge Sort,aleatorio,2260,282,0,25284,25284
Merge Sort,aleatorio,2270,227,0,25414,25414
Merge Sort,aleatorio,2280,259,0,25544,25544
Merge Sort,aleatorio,2290,229,0,25674,25674
Merge Sort,aleatorio,2300,248,0,25804,25804
Merge Sort,aleatorio,2310,322,0,25934,25934
Merge Sort,aleatorio,2320,231,0,26064,26064
Merge Sort,aleatorio,2330,235,0,26194,26194
Merge Sort,aleatorio,2340,261,0,26324,26324
Merge Sort,aleatorio,2350,236,0,26454,26454
Merge Sort,aleatorio,2360,239,0,26584,26584
Merge Sort,aleatorio,2370,242,0,26714,26714
Merge Sort,aleatorio,2380,241,0,26844,26844
Merge Sort,aleatorio,2390,240,0,26974,26974
Merge Sort,aleatorio,2400,242,0,27104,27104
Merge Sort,aleatorio,2410,246,0,27234,27234
Merge Sort,aleatorio,2420,250,0,27364,27364
Merge Sort,aleatorio,2430,248,0,27494,27494
Merge Sort,aleatorio,2440,249,0,27624,27624
Merge Sort,aleatorio,2450,246,0,27754,27754
Merge Sort,aleatorio,2460,247,0,27884,27884
Merge Sort,aleatorio,2470,249,0,28014,28014
Merge Sort,aleatorio,2480,316,0,28144,28144
Merge Sort,aleatorio,2490,251,0,28274,28274
Merge Sort,aleatorio,2500,352,0,28404,28404
Merge Sort,aleatorio,2510,256,0,28534,28534
Merge Sort,aleatorio,2520,260,0,28664,28664
Merge Sort,aleatorio,2530,257,0,28794,28794
Merge Sort,aleatorio,2540,255,0,28924,28924
Merge Sort,aleatorio,2550,258,0,29054,29054
Merge Sort,aleatorio,2560,344,0,29184,29184
Merge Sort,aleatorio,2570,348,0,29314,29314
Merge Sort,aleatorio,2580,258,0,29444,29444
Merge Sort,aleatorio,2590,260,0,29574,29574
Merge Sort,aleatorio,2600,261,0,29704,29704
Merge Sort,aleatorio,2610,283,0,29834,29834
Merge Sort,aleatorio,2620,265,0,29964,29964
Merge Sort,aleatorio,2630,265,0,30094,30094
Merge Sort,aleatorio,2640,266,0,30224,30224
Merge Sort,aleatorio,2650,276,0,30354,30354
Merge Sort,aleatorio,2660,271,0,30484,30484
Merge Sort,aleatorio,2670,275,0,30614,30614
Merge Sort,aleatorio,2680,274,0,30744,30744
Merge Sort,aleatorio,2690,274,0,30874,30874
Merge Sort,aleatorio,2700,356,0,31004,31004
Merge Sort,aleatorio,2710,279,0,31134,31134
Merge Sort,aleatorio,2720,388,0,31264,31264
Merge Sort,aleatorio,2730,279,0,31394,31394
Merge Sort,aleatorio,2740,278,0,31524,31524
Merge Sort,aleatorio,2750,284,0,31654,31654
Merge Sort,aleatorio,2760,283,0,31784,31784
Merge Sort,aleatorio,2770,283,0,31914,31914
Merge Sort,aleatorio,2780,292,0,32044,32044
Merge Sort,aleatorio,2790,290,0,32174,32174
Merge Sort,aleatorio,2800,291,0,32304,32304
Merge Sort,aleatorio,2810,293,0,32434,32434
Merge Sort,aleatorio,2820,300,0,32564,32564
Merge Sort,aleatorio,2830,288,0,32694,32694
Merge Sort,aleatorio,2840,291,0,32824,32824
Merge Sort,aleatorio,2850,297,0,32954,32954
Merge Sort,aleatorio,2860,411,0,33084,33084
Merge Sort,aleatorio,2870,297,0,33214,33214
Merge Sort,aleatorio,2880,414,0,33344,33344
Merge Sort,aleatorio,2890,299,0,33474,33474
Merge Sort,aleatorio,2900,300,0,33604,33604
Merge Sort,aleatorio,2910,302,0,33734,33734
Merge Sort,aleatorio,2920,303,0,33864,33864
Merge Sort,aleatorio,2930,301,0,33994,33994
Merge Sort,aleatorio,2940,384,0,34124,34124
Merge Sort,aleatorio,2950,339,0,34254,34254
Merge Sort,aleatorio,2960,304,0,34384,34384
Merge Sort,aleatorio,2970,312,0,34514,34514
Merge Sort,aleatorio,2980,308,0,34644,34644
Merge Sort,aleatorio,2990,309,0,34774,34774
Merge Sort,aleatorio,3000,308,0,34904,34904
Merge Sort,aleatorio,3010,388,0,35034,35034
Merge Sort,aleatorio,3020,314,0,35164,35164
Merge Sort,aleatorio,3030,313,0,35294,35294
Merge Sort,aleatorio,3040,313,0,35424,35424
Merge Sort,aleatorio,3050,311,0,35554,35554
Merge Sort,aleatorio,3060,458,0,35684,35684
Merge Sort,aleatorio,3070,315,0,35814,35814
Merge Sort,aleatorio,3080,441,0,35944,35944
Merge Sort,aleatorio,3090,323,0,36074,36074
Merge Sort,aleatorio,3100,333,0,36204,36204
Merge Sort,aleatorio,3110,321,0,36334,36334
Merge Sort,aleatorio,3120,325,0,36464,36464
Merge Sort,aleatorio,3130,326,0,36594,36594
Merge Sort,aleatorio,3140,343,0,36724,36724
Merge Sort,aleatorio,3150,330,0,36854,36854
Merge Sort,aleatorio,3160,330,0,36984,36984
Merge Sort,aleatorio,3170,332,0,37114,37114
Merge Sort,aleatorio,3180,400,0,37244,37244
Merge Sort,aleatorio,3190,333,0,37374,37374
Merge Sort,aleatorio,3200,333,0,37504,37504
Merge Sort,aleatorio,3210,337,0,37634,37634
Merge Sort,aleatorio,3220,347,0,37764,37764
Merge Sort,aleatorio,3230,338,0,37894,37894
Merge Sort,aleatorio,3240,341,0,38024,38024
Merge Sort,aleatorio,3250,345,0,38154,38154
Merge Sort,aleatorio,3260,361,0,38284,38284
Merge Sort,aleatorio,3270,345,0,38414,38414
Merge Sort,aleatorio,3280,356,0,38544,38544
Merge Sort,aleatorio,3290,348,0,38674,38674
Merge Sort,aleatorio,3300,597,0,38804,38804
Merge Sort,aleatorio,3310,346,0,38934,38934
Merge Sort,aleatorio,3320,353,0,39064,39064
Merge Sort,aleatorio,3330,350,0,39194,39194
Merge Sort,aleatorio,3340,360,0,39324,39324
Merge Sort,aleatorio,3350,351,0,39454,39454
Merge Sort,aleatorio,3360,354,0,39584,39584
Merge Sort,aleatorio,3370,356,0,39714,39714
Merge Sort,aleatorio,3380,366,0,39844,39844
Merge Sort,aleatorio,3390,359,0,39974,39974
Merge Sort,aleatorio,3400,495,0,40104,40104
Merge Sort,aleatorio,3410,525,0,40234,40234
Merge Sort,aleatorio,3420,361,0,40364,40364
Merge Sort,aleatorio,3430,360,0,40494,40494
Merge Sort,aleatorio,3440,362,0,40624,40624
Merge Sort,aleatorio,3450,378,0,40754,40754
Merge Sort,aleatorio,3460,363,0,40884,40884
Merge Sort,aleatorio,3470,366,0,41014,41014
Merge Sort,aleatorio,3480,510,0,41144,41144
Merge Sort,aleatorio,3490,367,0,41274,41274
Merge Sort,aleatorio,3500,375,0,41404,41404
Merge Sort,aleatorio,3510,370,0,41534,41534
Merge Sort,aleatorio,3520,374,0,41664,41664
Merge Sort,aleatorio,3530,372,0,41794,41794
Merge Sort,aleatorio,3540,511,0,41924,41924
Merge Sort,aleatorio,3550,377,0,42054,42054
Merge Sort,aleatorio,3560,373,0,42184,42184
Merge Sort,aleatorio,3570,377,0,42314,42314
Merge Sort,aleatorio,3580,457,0,42444,42444
Merge Sort,aleatorio,3590,379,0,42574,42574
Merge Sort,aleatorio,3600,381,0,42704,42704
Merge Sort,aleatorio,3610,502,0,42834,42834
Merge Sort,aleatorio,3620,384,0,42964,42964
Merge Sort,aleatorio,3630,390,0,43094,43094
Merge Sort,aleatorio,3640,394,0,43224,43224
Merge Sort,aleatorio,3650,390,0,43354,43354
Merge Sort,aleatorio,3660,398,0,43484,43484
Merge Sort,aleatorio,3670,395,0,43614,43614
Merge Sort,aleatorio,3680,509,0,43744,43744
Merge Sort,aleatorio,3690,400,0,43874,43874
Merge Sort,aleatorio,3700,402,0,44004,44004
Merge Sort,aleatorio,3710,396,0,44134,44134
Merge Sort,aleatorio,3720,421,0,44264,44264
Merge Sort,aleatorio,3730,404,0,44394,44394
Merge Sort,aleatorio,3740,403,0,44524,44524
Merge Sort,aleatorio,3750,405,0,44654,44654
Merge Sort,aleatorio,3760,440,0,44784,44784
Merge Sort,aleatorio,3770,405,0,44914,44914
Merge Sort,aleatorio,3780,537,0,45044,45044
Merge Sort,aleatorio,3790,409,0,45174,45174
Merge Sort,aleatorio,3800,407,0,45304,45304
Merge Sort,aleatorio,3810,410,0,45434,45434
Merge Sort,aleatorio,3820,423,0,45564,45564
Merge Sort,aleatorio,3830,413,0,45694,45694
Merge Sort,aleatorio,3840,410,0,45824,45824
Merge Sort,aleatorio,3850,414,0,45954,45954
Merge Sort,aleatorio,3860,415,0,46084,46084
Merge Sort,aleatorio,3870,416,0,46214,46214
Merge Sort,aleatorio,3880,446,0,46344,46344
Merge Sort,aleatorio,3890,420,0,46474,46474
Merge Sort,aleatorio,3900,417,0,46604,46604
Merge Sort,aleatorio,3910,462,0,46734,46734
Merge Sort,aleatorio,3920,419,0,46864,46864
Merge Sort,aleatorio,3930,568,0,46994,46994
Merge Sort,aleatorio,3940,567,0,47124,47124
Merge Sort,aleatorio,3950,420,0,47254,47254
Merge Sort,aleatorio,3960,425,0,47384,47384
Merge Sort,aleatorio,3970,425,0,47514,47514
Merge Sort,aleatorio,3980,427,0,47644,47644
Merge Sort,aleatorio,3990,427,0,47774,47774
Merge Sort,aleatorio,4000,439,0,47904,47904
Merge Sort,aleatorio,4010,509,0,48034,48034
Merge Sort,aleatorio,4020,429,0,48164,48164
Merge Sort,aleatorio,4030,430,0,48294,48294
Merge Sort,aleatorio,4040,594,0,48424,48424
Merge Sort,aleatorio,4050,436,0,48554,48554
Merge Sort,aleatorio,4060,437,0,48684,48684
Merge Sort,aleatorio,4070,432,0,48814,48814
Merge Sort,aleatorio,4080,439,0,48944,48944
Merge Sort,aleatorio,4090,640,0,49074,49074
Merge Sort,aleatorio,4100,604,0,49208,49208
Merge Sort,aleatorio,4110,487,0,49348,49348
Merge Sort,aleatorio,4120,441,0,49488,49488
Merge Sort,aleatorio,4130,443,0,49628,49628
Merge Sort,aleatorio,4140,580,0,49768,49768
Merge Sort,aleatorio,4150,442,0,49908,49908
Merge Sort,aleatorio,4160,462,0,50048,50048
Merge Sort,aleatorio,4170,478,0,50188,50188
Merge Sort,aleatorio,4180,448,0,50328,50328
Merge Sort,aleatorio,4190,449,0,50468,50468
Merge Sort,aleatorio,4200,452,0,50608,50608
Merge Sort,aleatorio,4210,539,0,50748,50748
Merge Sort,aleatorio,4220,455,0,50888,50888
Merge Sort,aleatorio,4230,459,0,51028,51028
Merge Sort,aleatorio,4240,459,0,51168,51168
Merge Sort,aleatorio,4250,510,0,51308,51308
Merge Sort,aleatorio,4260,458,0,51448,51448
Merge Sort,aleatorio,4270,461,0,51588,51588
Merge Sort,aleatorio,4280,498,0,51728,51728
Merge Sort,aleatorio,4290,465,0,51868,51868
Merge Sort,aleatorio,4300,462,0,52008,52008
Merge Sort,aleatorio,4310,468,0,52148,52148
Merge Sort,aleatorio,4320,566,0,52288,52288
Merge Sort,aleatorio,4330,467,0,52428,52428
Merge Sort,aleatorio,4340,599,0,52568,52568
Merge Sort,aleatorio,4350,470,0,52708,52708
Merge Sort,aleatorio,4360,495,0,52848,52848
Merge Sort,aleatorio,4370,476,0,52988,52988
Merge Sort,aleatorio,4380,477,0,53128,53128
Merge Sort,aleatorio,4390,478,0,53268,53268
Merge Sort,aleatorio,4400,716,0,53408,53408
Merge Sort,aleatorio,4410,477,0,53548,53548
Merge Sort,aleatorio,4420,478,0,53688,53688
Merge Sort,aleatorio,4430,655,0,53828,53828
Merge Sort,aleatorio,4440,546,0,53968,53968
Merge Sort,aleatorio,4450,481,0,54108,54108
Merge Sort,aleatorio,4460,486,0,54248,54248
Merge Sort,aleatorio,4470,486,0,54388,54388
Merge Sort,aleatorio,4480,549,0,54528,54528
Merge Sort,aleatorio,4490,487,0,54668,54668
Merge Sort,aleatorio,4500,486,0,54808,54808
Merge Sort,aleatorio,4510,813,0,54948,54948
Merge Sort,aleatorio,4520,489,0,55088,55088
Merge Sort,aleatorio,4530,493,0,55228,55228
Merge Sort,aleatorio,4540,731,0,55368,55368
Merge Sort,aleatorio,4550,500,0,55508,55508
Merge Sort,aleatorio,4560,682,0,55648,55648
Merge Sort,aleatorio,4570,493,0,55788,55788
Merge Sort,aleatorio,4580,630,0,55928,55928
Merge Sort,aleatorio,4590,500,0,56068,56068
Merge Sort,aleatorio,4600,500,0,56208,56208
Merge Sort,aleatorio,4610,500,0,56348,56348
Merge Sort,aleatorio,4620,718,0,56488,56488
Merge Sort,aleatorio,4630,502,0,56628,56628
Merge Sort,aleatorio,4640,508,0,56768,56768
